SN,Trimester 1/4/7/10 & PhD 4/7,Div.,Discp,Course code with sections,Course Title,OAA Remarks,"Year 1
 2025-29
 T1/2/3","Year 2
 2024-28
 T4/5/6","Year 3
 2023-27
 T7/8/9","Year 4
 2022-26
 T10/11/12",Phd 4,Phd 7,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
1,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS101-WOC,Writing and Oral Communication,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
2,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS102-MR,Mathematical Reasoning,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
3,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS103-CE,Creative Expression,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
4,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS133-DTG,Design Thinking,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
5,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS122-ESH,Exploring the Social and the Historical,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
6,Trimester 1/4/7/10 & PhD 4/7,KCCS,KCCS,KCCS123-PHP,Philosophical Perspectives Across Cultures,,YES,YES,NO,NO,NO,NO,Required,3,,Required for all the first years,None,,None,None
7,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI203,Supply Chain Management ,ok,NO,YES,YES,YES,NO,NO,Required,2,Kumaravel S,Required course for Business Studies minor,None,"A business firm is a needs-satisfying machine; it is an entity invented and employed by society to better satisfy society’s interests[1]. ‘Value’ is created when the customer is willing to pay (such) a price for a product/ service/ combination thereof that exceeds the costs incurred to deliver the same. Value creation occurs across the ‘Supply Chain.’ For a given ‘Value,’ the supply chain evolves to minimize the sum of the input, conversion, and transaction costs. This course introduces the vocabulary, perspectives, concepts, and models used to study and analyze supply chains.",NA,
8,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI316,Organization Design & Theory,ok,NO,NO,YES,YES,NO,NO,Elective,2,Pallavi Pandey,Elective,None,"Course Rationale :
This course helps students understand Organization, Organizational Theory, Structure, and Design. It
also introduces some of the key concepts like Change Management, Decision-making, Culture,
Conflict, Power, and Politics. The primary purpose is to enhance the student’s knowledge of how the
structure, systems, and selected issues influence organizational processes and performance. Students
will be able to relate how managers and organizations can build organizational culture, implement
planned change, and how conflict, power, and politics are integral aspects of the organizational
system.
Course Objectives :
CO1. To develop critical thinking on important theoretical themes in organizational theory and
evaluate the organization&#39;s dynamic process based on the same.
CO2. To develop abilities to assess and describe organization showing linkages between environment,
strategy, and structure and point out solutions.
CO3. To acquaint the participants with some of the key organizational issues like decision-making,
culture, knowledge management, conflict, power, and politics.
Learning Outcomes :
LO1. Will be able to critically comment on the usefulness and practical implication of the theoretical
underpinnings of organizational theory.
LO2. Will be able to apply fundamental concepts of organization theory and structure to understand and
solve organizational dilemma.
LO3. Will be able to evaluate the role of strategy, structure, and decision making process in organization.",NA,
9,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI320,Security Analysis & Portfolio Management,ok,NO,NO,YES,YES,NO,NO,Elective,4,Sesha Sai Ram Meka,Elective,None,"Course Description:
The course aims to provide students with a comprehensive understanding of portfolio management
principles, including constructing and evaluating investment portfolios.
Topics we cover include the market indices, efficiency frontier, the Markowitz portfolio, capital asset
pricing, model, arbitrage pricing theory, factor models, active and passive investing, smart beta, beta
core, bucket investment, simulation, optimization, Sharpe ratio, Traynor ratio, Mutual funds etc.
Course Objectives:
The course objectives are as follows:
1. Gain knowledge of financial markets
2. Understand risk and return dynamics.
3. Develop an understanding of portfolio management
4. Develop skills in investment strategy
5. Enhance decision-making abilities
Learning Outcomes:
1. Understanding risk, randomness, and market efficiency
2. Understand mutual funds
3. Constructing an optimal portfolio
4. Evaluating the performance of a portfolio",NA,"Approved by CC, Course Code awaited"
10,Trimester 1/4/7/10 & PhD 4/7,HSS,BUSI,BUSI331,Finance & Sustainable Development Goals,New,NO,YES,YES,YES,NO,NO,Elective,4,Govindapuram Suresh,Elective,None,"Course Description:
Today's world is borderless; everyone is accessible to anyone and anywhere in the world. This happened because of the advancements in technology and innovation, which businesses are constantly working on. This is one side of the story, and the other is that there are threats to society, such as inequality, hunger, poverty, climate change, wars, etc.  To overcome the problems, governments, businesses, non-governmental organizations, and other stakeholders are working significantly to improve people's lives and economic growth and development. They need finance to overcome and cope with the emerging challenges essential to achieving the 17 Sustainable Development Goals (SDGs). The SDGs are important and cover almost all life, business, and developmental aspects of the environment and industry.

This course explores the possibilities and issues with the impact of finance on achieving Sustainable Development Goals and the relationship between them. As finance is essential for achieving SDGs, here comes the role of a manager, one who manages businesses. With their actions in the industry, managers will try to accomplish these without delays. Which is benefit the society at large. Hence, managers need to understand the different aspects of SDGs and how they finance them with the available funds.

This course introduces different financial instruments to achieve world-level SDGs and gives a case study of the Indian story. 


Learning Objectives: 

Students will be able to understand the fundamentals of SDGs. 
Students will understand the emergence and development of the SDGs.
To understand the role of finance in achieving SDGs. 
To examine the financial instruments for SDGs.
To learn about different issues and difficulties in achieving the SDGs.


Learning Outcomes: 
Upon successful completion of this course, students will be able to:
Understand the importance of SDGs.
Gain skills and knowledge on the finance and SDGs nexus
Understand the importance of financial instruments in achieving the SDGs.
Develop an SDGs index to compare the different countries/states.
Critically understand the role of Government, NGOs, and other stakeholders in achieving SDGs",NA,"Approved by CC, Course Code awaited"
